practicumIndex,practicumSessionIndex,title,abstractSession,startTimePeriod,endTimePeriod,furtherInformationLink,confirmation
1,0,  ,a,2023/05/18 12:00,2023/05/28 12:00,,
0,0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa76,a,2023/05/18 12:00,2023/05/28 12:00,,
0,0,t,   ,2023/05/18 12:00,2023/05/28 12:00,,
0,0,t,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa101,2023/05/18 12:00,2023/05/28 12:00,,
0,0,t,a,2022/07/02 12:00,2022/07/28 12:00,,
0,0,t,a,2022/08/10 12:00,2022/08/09 12:00,,
0,0,t,a,2022/07/02 12:00,2022/07/07 12:00,,
0,0,t,a,2022/08/02 12:00,2022/08/07 12:00,,
0,0,t,a,,2022/08/07 12:00,,
0,0,t,a,2022/08/09 12:00,,,
0,0,t,a,2022/08/12 12:00,2022/08/21 12:00,wqefwerfwerf,
0,0,t,a,ert,,wqefwerfwerf,
0,0,t,a,,,wqefwerfwerf,
0,0,t,a,,fefwq,wqefwerfwerf,
0,0,t,a,2022/08/12 12:00,2022/08/21 12:00,,
0,0,,,,,,
