practicumIndex,code,course,title,abstractPracticum,goals,estimatedTotalTime
0,,---,,,,
0,   ,AAA997,title-02,abstractPracticum-02,goal-02,9.00
0,assd2343,AAA997,title-02,abstractPracticum-02,goal-02,9.00
0,AA5434,AAA997,  ,abstractPracticum-03,goal-03,9.00
0,AA5434,AAA997,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa76,abstractPracticum-03,goal-04,9.00
0,AA5434,AAA997,title-01,   ,goal,9.00
0,AA5434,AAA997,title-01,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa101,goal,9.00
0,AA5434,AAA997,title-01,abstractPracticum-07,   ,9.00
0,AA5434,AAA997,title-01,abstractPracticum-07,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa101,9.00
0,AA5434,AAA997,title-01,abstractPracticum-07,goal-03,0.00
0,AA5434,AAA997,title-01,abstractPracticum-10,goal-10,-1.00
