courseIndex,code,title,courseAbstract,retailPrice,link
0,A,AAAAAAAAACourse1,courseAbstract1,EUR -2.00,https://test.com
0,AA,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAA,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAA1,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAA12,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAB999,el codigo va a estar duplicado,courseAbstract2,EUR 2.00,https://test.com
0,,he dejado el codigo del curso a null,courseAbstract1,EUR -2.00,https://test.com
0,AAA122,,he dejado el titulo a null,EUR 2.00,https://test.com
0,,he dejado el abstract a null,,EUR -2.00,https://test.com
0,,he dejado el precio a null,,,https://test.com
0,AAA122,AEsto es un título que posiblemente contenga 76 caracteres no sé qué ponerrr,courseAbstract1,EUR 2.00,https://test.com
0,AAA122,AEsto es un título que posiblemente contenga 77 caracteres no sé qué ponerrr,courseAbstract1,EUR 2.00,https://test.com
0,AAA122,BAAAAAAAACourse,Este abstract es bastante bastante largo ya que debe contener 101 caracteres si no llego meto doss mm,USD 999.00,https://github.com/ferbaqfer/Acme-L3-D02
0,AAA122,BAAAAAAAACourse,Este abstract es bastante bastante largo ya que debe contener 102 caracteres si no llego meto dosss mm,USD 999.00,https://github.com/ferbaqfer/Acme-L3-D02
0,AAA122,BAAAAAAAACourse,voy a poner un retail price mal, 999.00,https://github.com/ferbaqfer/Acme-L3-D02
0,AAA122,BAAAAAAAACourse,voy a poner un retail price mal, EUR -15,https://github.com/ferbaqfer/Acme-L3-D02
0,AAA122,BAAAAAAAACourse,voy a poner un retail price mal, USD -15.00,https://github.com/ferbaqfer/Acme-L3-D02
0,AAA122,BAAAAAAAACourse,voy a poner un retail price mal, AA -15.00,https://github.com/ferbaqfer/Acme-L3-D02
0,AAA122,BAAAAAAAACourse,voy a poner un enlace mal, EUR 5.00,MalPuesto
0,AAA122,BAAAAAAAACourse,voy a poner un enlace mal, EUR 5.00,12
