courseIndex,code,title,courseAbstract,retailPrice,link
0,A,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AA,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAA,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAA1,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAA12,AAAAAAAAACourse1,courseAbstract1,EUR 2.00,https://test.com
0,AAA999,el codigo va a estar duplicado,courseAbstract2,EUR 2.00,https://test.com
0,AAA122,,he dejado el titulo a null,EUR 2.00,https://test.com
0,AAA122,AEsto es un título que posiblemente contenga 76 caracteres no sé qué ponerrr,courseAbstract1,EUR 2.00,https://test.com
2,AAA122,BAAAAAAAACourse,Este abstract es bastante bastante largo ya que debe contener 101 caracteres si no llego meto doss mm,USD 999.00,https://github.com/ferbaqfer/Acme-L3-D02

